INGRESO;CASO;CARTAS ENVIADAS;VALOR SERVICIO;CUANTO PAGO AL ABRIR;CUOTA MENSUAL;CUANTO DEBE
18/3/2022;13405;6;$2.000,00;$750,00;$208,33;$1.250,00
8/8/2022;13734;4;$4.000,00;$1.000,00;$250,00;$2.010,00
22/3/2021;12580;6;$5.500,00;$1.650,00;$481,00;$178,20
25/6/2019;11046;3;$3.500,00;$1.500,00;$200,00;$0,00
13/5/2021;12746;4;$4.500,00;$1.100,00;$340,00;$860,00
18/7/2022;13686;0;$3.500,00;$1.200,00;$230,00;$0,00
8/2/2022;13303;4;$4.500,00;$1.000,00;$350,00;$1.930,00
18/2/2022;13325;1;$4.500,00;$2.000,00;$250,00;$0,00
4/12/2022;12810;2;$4.500,00;$1.350,00;$393,75;$550,00
8/3/2022;13383;0;$4.500,00;$1.000,00;$291,67;$616,00
18/4/2022;13481;2;$5.500,00;$1.500,00;$250,00;$0,00
23/5/2022;13551;1;$3.500,00;$500,00;$150,00;$710,00
20/5/2021;12769;2;$4.500,00;$1.000,00;$292,00;$508,00
9/1/2023;14073;0;$2.500,00;$100,00;$240,00;$160,00
1/10/2023;14074;2;$1.000,00;$250,00;$250,00;$750,00
20/1/2023;11052;0;$2.000,00;$1.000,00;$500,00;$500,00
17/2/2023;14209;0;$5.000,00;$3.600,00;$350,00;$700,00
23/2/2023;14237;0;$250,00;$50,00;$200,00;$150,00
27/2/2023;14245;0;$5.700,00;$1.500,00;$450,00;$1.500,00
28/2/2023;14253;0;$4.500,00;$1.000,00;$292,00;$0,00
24/3/2023;14268;0;$2.850,00;$1.000,00;$185,00;$695,00
7/3/2023;14281;0;$2.850,00;$850,00;$250,00;$750,00
21/3/2023;14324;0;$3.850,00;$1.155,00;$269,50;$1.425,50
30/3/2023;14354;0;$250,00;$100,00;$150,00;$50,00
3/4/2023;14365;0;$4.500,00;$1.500,00;$300,00;$1.800,00
14/4/2023;14388;0;$2.850,00;$855,00;$199,50;$0,00
14/4/2023;14396;0;$6.000,00;$2.000,00;$400,00;$1.600,00
24/4/2023;14424;0;$2.000,00;$500,00;$150,00;$0,00
19/5/2023;14503;0;$400,00;$200,00;$200,00;$200,00
11/7/2023;14650;0;$3.100,00;$500,00;$260,00;$2.080,00
12/7/2023;14651;0;$500,00;$200,00;$300,00;$300,00
13/7/2023;14655;0;$2.000,00;$500,00;$250,00;$750,00
13/7/2023;14657;0;$3.850,00;$1.000,00;$250,00;$1.350,00
13/7/2023;14669;0;$1,500,00;$500,00;$500,00;$1.000,00
24/7/2023;14693;0;$250,00;$100,00;$75,00;$150,00
25/7/2023;14695;0;$3.850,00;$1.000,00;$285,00;$150,00
28/7/2023;14711;0;$250,00;$100,00;$150,00;$150,00
2/8/2023;14726;0;$2.850,00;$850,00;$200,00;$1.600,00
8/7/2023;14733;0;$250,00;$100,00;$150,00;$150,00
25/8/2023;14766;0;$2.100,00;$630,00;$147,00;$0,00
5/9/2022;14783;0;$4.500,00;$1.350,00;$315,00;$1.000,00
14/9/2023;14794;0;$750,00;$350,00;$100,00;$400,00
22/9/2023;14803;0;$3.850,00;$950,00;$181,00;$100,00
3/10/2023;14819;0;$4.250,00;$1.500,00;$275,00;$0,00
6/10/2023;14823;0;$600,00;$300,00;$150,00;$300,00
10/10/2023;14833;0;$2.850,00;$855,00;$199,50;$995,00
12/10/2023;14841;0;$3.000,00;$1.500,00;$300,00;$1.175,00
9/11/2023;14868;0;$3.500,00;$1.000,00;$250,00;$75,00
5/12/2023;14891;0;$4.250,00;$1.000,00;$295,46;$1.450,00
8/12/2023;14898;0;$3.000,00;$1.500,00;$300,00;$350,00
12/12/2023;14901;0;$700,00;$500,00;$200,00;$100,00
16/1/2024;14941;0;$3.250,00;$1.000,00;$225,00;$0,00
9/2/2024;14969;1;$8.000,00;$1.500,00;$542,00;$6.500,00
19/2/2024;14979;1;$4.250,00;$2.000,00;$225,00;$1.500,00
22/2/2024;14982;1;$3.500,00;$1.500,00;$200,00;$1.000,00
26/2/2024;14989;0;$300,00;$100,00;$100,00;$100,00
1/3/2024;14997;0;$1.000,00;$500,00;$500,00;$0,00
4/3/2024;15000;0;$3.250,00;$100,00;$225,00;$0,00
8/3/2024;15004;0;$2.000,00;$1.000,00;$125,00;$250,00
12/3/2024;15008;0;$3.250,00;$1.000,00;$225,00;$0,00
27/3/2024;15027;0;$3.000,00;$1.500,00;$300,00;$0,00
28/3/2024;15033;0;$6.000,00;$3.000,00;$600,00;$0,00
1/4/2024;15038;0;$2.500,00;$700,00;$200,00;$1.500,00
24/4/2024;15059;0;$1.000,00;$500,00;$100,00;$200,00
24/4/2024;15060;0;$3.000,00;$1.000,00;$400,00;$0,00
1/5/2024;15068;0;$4.000,00;$1.000,00;$300,00;$800,00
8/5/2024;15075;0;$1.200,00;$500,00;$87,50;$152,50
9/5/2024;15076;0;$3.500,00;$1.000,00;$250,00;$550,00
21/5/2024;15086;0;$2.850,00;$1.500,00;$193,00;$82,00
21/5/2024;15087;0;$2.850,00;$850,00;$200,00;$200,00
12/6/2024;15111;0;$2.850,00;$1.000,00;$185,00;$0,00
17/6/2024;15115;1;$3.850,00;$1.000,00;$357,00;$263,00
18/6/2024;15126;0;$400,00;$200,00;$200,00;$0,00
28/6/2024;15130;0;$2.850,00;$1.000,00;$231,25;$1.156,25
8/7/2024;15132;0;$2.850,00;$1.500,00;$135,00;$357,95
16/7/2024;15139;0;$4.000,00;$1.000,00;$250,00;$1.000,00
22/7/2024;15143;0;$2.500,00;$1.000,00;$750,00;$7.500,00
23/7/2024;15147;0;$3.250,00;$800,00;$204,16;$1.507,00
23/7/2024;15150;0;$250,00;$100,00;$150,00;$0,00
29/7/2024;15154;0;$5.700,00;$2.000,00;$370,00;$15,00
12/8/2024;15171;0;$250,00;$200,00;$50,00;$50,00
16/8/2024;15175;0;$750,00;$300,00;$90,00;$260,00
19/8/2024;15181;0;$750,00;$750,00;$750,00;$0,00
26/8/2024;15195;0;$1.500,00;$750,00;$750,00;$750,00
29/8/2024;15206;0;$1.500,00;$750,00;$750,00;$750,00
29/8/2024;15205;0;$1.500,00;$750,00;$750,00;$750,00
3/9/2024;15219;0;$1.500,00;$1.000,00;$500,00;$500,00
6/9/2024;15186;0;$500,00;$300,00;$200,00;$0,00
23/9/2024;15239;0;$4.250,00;$1.000,00;$325,00;$833,00
24/9/2024;15241;0;$1.500,00;$1.000,00;$500,00;$0,00
25/9/2024;15245;0;$2.500,00;$2.500,00;$375,00;$925,00
27/9/2024;15249;0;$3.000,00;$500,00;$500,00;$1.800,00
